observation_key,licensor_resolution,resolved_licensor_id,resolved_licensor_name,normalized_observed_value,active_file_count,proposal_order,proposed_disposition,target_property_id,target_property_code,target_property_name,target_property_parent_licensor_id,rationale_code,create_candidate_code,create_candidate_name,classification_automatic,owner_activation_required,coldlion_phase5_overlap,coldlion_phase5_divisions,proposed_parent_evidence,current_accepted_relationship_count,currently_tagged_at_risk,cross_parent_proposal,fuzzy_similarity_used_for_selection,proposal_effective
14f2902d-42de-4820-83c5-e4f359a6e0d6|[blank],resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,,1,5,non_property,,,,,blank_property_observation,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2016,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2016,567,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,39,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2017,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2017,571,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,112,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2018,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2018,1326,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,332,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2019,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2019,896,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,74,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2020,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2020,831,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,49,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2021,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2021,342,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,2,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2022,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2022,113,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2023,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2023,373,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
14f2902d-42de-4820-83c5-e4f359a6e0d6|2024,resolved,14f2902d-42de-4820-83c5-e4f359a6e0d6,STAR WARS,2024,114,8,deferred,,,,,insufficient_deterministic_evidence,,,false,true,false,,,0,false,false,false,false
